Student_id,Study_hours,Sleep_hours,Attendance,Phone_usage,Assignment_completed,Breaks_taken,Previous_scores,Test_scores
119,2,4,74.0,14.0,8,9,8,39.71782969961652
12,10,3,84.0,6.0,1,0,18,57.05129981104765
150,3,6,85.0,12.0,6,7,27,56.78061294057554
153,1,4,86.0,15.0,6,10,35,36.99309283779144
146,3,3,19.0,12.0,1,7,63,24.639842165108902
135,3,6,18.0,12.0,1,6,9,14.248054017337957
94,6,5,61.0,10.0,5,0,95,76.8111623735434
20,1,3,19.0,14.0,4,10,86,40.00383715493152
5,8,5,15.0,8.0,0,0,83,69.58193824493392
7,7,6,91.0,9.0,4,0,5,60.38368371962992
152,7,5,17.0,9.0,4,0,97,80.70688065333857
95,1,2,33.0,14.0,4,10,89,38.399175831406254
31,10,4,95.0,6.0,5,0,84,96.36871217264934
82,6,3,96.0,10.0,0,1,18,41.63196388824648
157,5,5,8.0,11.0,6,2,43,50.25846639048311
116,9,5,92.0,7.0,6,0,77,100.0
89,3,6,60.0,12.0,0,7,2,33.5264648031059
109,5,4,69.0,11.0,0,3,84,61.51890702568932
159,3,2,70.0,13.0,6,6,83,58.09246011882617
14,4,5,42.0,12.0,6,5,8,36.32418778793341
13,10,4,97.0,5.0,9,0,5,62.19866974633051
39,5,2,89.0,11.0,2,3,38,42.28257918631649
53,1,6,70.0,15.0,7,10,41,42.15693828102357
132,6,4,61.0,10.0,5,0,98,76.25488504594692
85,8,4,80.0,8.0,9,0,48,82.06636985746746
90,7,3,36.0,9.0,6,0,78,70.48707472410214
50,2,4,24.0,14.0,5,9,39,30.88678898118236
108,2,6,87.0,14.0,8,9,39,54.48571918422807
55,8,6,21.0,8.0,2,0,8,47.81394736060262
182,2,3,32.0,14.0,9,8,96,60.55548107381564
117,7,3,2.0,8.0,1,0,70,50.82442958776986
96,9,5,25.0,6.0,6,0,29,56.91860618962279
65,2,5,38.0,14.0,7,8,60,45.53448157812762
19,6,2,80.0,10.0,4,0,62,56.63605658350823
57,10,2,6.0,5.0,1,0,68,73.4980944549915
1,3,4,15.0,12.0,6,6,90,50.8857596430996
138,3,4,96.0,13.0,4,7,23,33.8430485617078
129,5,4,6.0,11.0,9,3,45,48.95355915312979
113,9,4,18.0,6.0,0,0,73,65.888749976003
121,8,6,99.0,7.0,2,0,95,97.5672091501994
3,2,2,98.0,13.0,8,8,54,52.0260066571534
60,6,2,20.0,9.0,5,1,36,45.81137329036276
88,4,3,83.0,11.0,8,4,25,46.89836675243373
17,7,4,3.0,9.0,6,0,67,57.85898377481671
174,5,3,45.0,11.0,6,3,50,45.70476891631756
171,6,6,91.0,10.0,0,1,11,39.51104080923043
73,9,2,24.0,6.0,5,0,42,56.152508437353
104,6,3,23.0,9.0,2,0,71,61.89235032593228
54,10,6,20.0,5.0,4,0,38,74.62762991488385
103,8,2,19.0,7.0,6,0,3,40.31892687376437
170,1,3,47.0,14.0,3,10,98,49.17959329695455
36,4,5,1.0,11.0,6,4,44,41.19859565388698
97,5,3,55.0,11.0,9,3,78,67.66019720197424
142,7,5,40.0,9.0,3,0,64,66.88838137525894
183,3,6,0.0,12.0,8,7,12,37.17523589281791
