Student_id,Study_hours,Sleep_hours,Attendance,Phone_usage,Assignment_completed,Breaks_taken,Previous_scores,Test_scores
41,8,2,38,4.0,7,0,17,73.6
52,7,5,8,6.0,6,0,10,39.0
140,8,3,53,4.0,8,0,16,91.8
198,10,3,42,2.0,0,0,81,98.3
171,2,2,79,10.0,9,9,42,77.1
83,6,6,14,7.0,0,1,34,38.2
184,8,4,96,5.0,0,0,79,100.0
47,6,6,64,7.0,2,0,45,96.5
71,10,4,21,2.0,3,0,8,61.9
101,8,50,58,4.0,4,0,59,100.0
180,3,6,56,9.0,3,7,32,59.1
84,7,2,23,5.0,3,0,60,60.5
26,5,6,13,7.0,1,3,20,27.5
191,9,2,54,3.0,2,0,94,100.0
160,5,2,77,8.0,6,3,56,99.8
174,10,6,93,2.0,9,0,82,100.0
96,4,5,97,8.0,9,4,19,100.0
4,9,5,10,4.0,6,0,87,74.1
42,6,2,84,,3,1,6,98.3
59,7,6,31,6.0,2,0,28,63.4
15,4,6,53,9.0,1,5,44,63.7
144,9,6,49,4.0,4,0,73,100.0
13,5,2,22,7.0,2,2,3,26.9
7,3,4,75,10.0,3,6,61,82.8
183,8,4,91,5.0,0,0,26,100.0
162,8,4,38,4.0,1,0,76,86.3
129,3,4,81,10.0,1,6,56,84.3
123,3,2,38,10.0,2,6,7,24.1
102,1,6,5,11.0,7,10,82,13.099999999999998
87,8,3,12,4.0,0,0,38,45.4
65,6,3,67,6.0,6,0,57,100.0
48,1,5,18,12.0,3,10,6,0.0
159,4,6,95,9.0,4,5,92,100.0
35,4,3,3,9.0,7,5,78,26.9
39,6,4,84,7.0,3,0,95,100.0
197,6,3,91,6.0,9,0,59,100.0
5,5,3,24,7.0,4,3,7,33.1
73,8,6,62,4.0,8,0,24,100.0
68,3,2,62,10.0,0,7,40,53.0
146,3,2,12,9.0,0,6,22,1.5999999999999996
157,7,2,95,6.0,8,0,82,100.0
116,7,3,4,6.0,1,0,43,33.4
156,4,3,98,9.0,1,4,41,100.0
16,7,6,22,6.0,1,0,27,52.6
62,8,5,98,4.0,8,0,46,100.0
176,8,4,89,4.0,5,0,86,100.0
121,1,3,14,11.0,0,10,19,0.0
131,9,2,64,4.0,6,0,65,100.0
24,10,5,24,3.0,5,0,59,83.2
154,5,2,31,8.0,6,3,70,58.0
32,6,3,43,6.0,1,1,55,71.0
104,5,4,91,,1,3,18,98.9
90,6,6,39,7.0,0,0,29,63.7
133,1,6,28,11.0,6,10,89,36.7
110,4,50,2,9.0,3,4,42,9.1
127,6,2,33,6.0,2,1,85,69.5
18,5,5,79,7.0,6,3,67,100.0
31,3,2,6,9.0,2,6,28,0.40000000000000036
179,6,4,54,7.0,2,1,22,73.6
163,2,6,21,11.0,2,9,71,23.3
78,8,2,71,4.0,1,0,35,100.0
74,10,5,0,2.0,7,0,92,74.1
72,7,2,77,5.0,5,0,70,100.0
79,1,2,22,12.0,4,10,58,8.399999999999999
43,2,5,44,11.0,6,8,26,38.8
134,8,2,35,5.0,2,0,10,59.0
193,1,6,74,11.0,7,10,42,70.1
14,4,3,1,8.0,0,5,19,0.0
147,8,5,55,4.0,4,0,3,87.9
75,10,4,54,2.0,8,0,93,100.0
6,4,2,82,8.0,8,4,77,100.0
115,6,5,75,6.0,3,1,34,100.0
103,7,5,21,6.0,5,0,65,67.0
182,2,4,35,10.0,4,9,74,39.2
122,6,3,26,7.0,8,0,49,62.7
169,4,4,54,9.0,9,4,14,65.7
172,7,5,47,5.0,2,0,1,71.3
25,9,3,18,,1,0,87,72.6
145,6,6,60,7.0,9,1,87,100.0
93,7,6,33,6.0,5,0,48,75.9
9,8,6,62,4.0,9,0,92,100.0
54,1,4,58,12.0,7,10,14,39.7
28,3,3,35,9.0,8,6,64,51.2
106,2,3,6,11.0,9,8,66,13.3
119,7,2,21,6.0,2,0,73,58.9
164,3,5,16,9.0,8,7,35,25.5
44,3,2,ten,9.0,9,6,84,100.0
